"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","city_state.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","population.x","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population.y","Agency_Type.y"
"Abington,PA,City","Abington",0,0,3,0,7,85,2,2017,1,"PA","Abington,PA","City",3,94,"Abington","PA","Abington ,PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","","PA0460100","Abington","PA","Northeast","Middle Atlantic",58433,"abington township","PA",58429,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Ada,ID,County","Ada",0,7,0,20,6,27,2,2017,1,"ID","Ada,ID","County",27,35,"Ada","ID","Ada ,ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada","ID","West","Mountain",138487,"ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Aiken,SC,County","Aiken",0,8,8,34,61,160,32,2017,1,"SC","Aiken,SC","County",50,253,"Aiken","SC","Aiken ,SC","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",110756,NA,NA,"","","SC0020000","Aiken","SC","South","South Atlantic",110756,"aiken","SC",112764,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Akron,OH,City","Akron",2,24,41,62,177,414,73,2017,1,"OH","Akron,OH","City",129,664,"Akron","OH","Akron ,OH","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",187705,NA,NA,"","","OH0770100","Akron","OH","Midwest","East North Central",187705,"akron","OH",188223,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Alameda,CA,City","Alameda",0,2,8,3,14,147,37,2017,1,"CA","Alameda,CA","City",13,198,"Alameda","CA","Alameda ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda","CA","West","Pacific",75061,"alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Alameda,CA,County","Alameda",1,1,16,29,36,82,73,2017,1,"CA","Alameda,CA","County",47,191,"Alameda","CA","Alameda ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda","CA","West","Pacific",148466,"alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Albany,NY,City","Albany",0,4,24,37,39,220,11,2017,1,"NY","Albany,NY","City",65,270,"Albany","NY","Albany ,NY","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",102095,NA,NA,"","","NY0010100","Albany","NY","Northeast","Middle Atlantic",101930,"albany","NY",102095,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Albemarle,VA,County","Albemarle",1,3,0,2,20,76,8,2017,1,"VA","Albemarle,VA","County",6,104,"Albemarle","VA","Albemarle ,VA","From VA","State UCR","Provided by State UCR Program",115659,NA,NA,"","","VA0020300","Albemarle","VA","South","South Atlantic",115659,"albemarle county pol dep","VA",117655,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Albuquerque,NM,City","Albuquerque",6,NA,NA,NA,NA,NA,NA,2017,1,"NM","Albuquerque,NM","City",6,0,"Albuquerque","NM","Albuquerque ,NM","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","NM0010100","Albuquerque","NM","West","Mountain",559094,"albuquerque","NM",558745,"city 500,000 thru 999,999",NA,NA,NA,NA,NA,"City"
"Alexandria,VA,City","Alexandria",0,1,8,5,11,207,21,2017,1,"VA","Alexandria,VA","City",14,239,"Alexandria","VA","Alexandria ,VA","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",153897,NA,NA,"","","VA0990000","Alexandria","VA","South","South Atlantic",153897,"alexandria","VA",155153,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Alhambra,CA,City","Alhambra",1,2,13,5,37,129,39,2017,1,"CA","Alhambra,CA","City",21,205,"Alhambra","CA","Alhambra ,CA","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79087,NA,NA,"","","CA0190100","Alhambra","CA","West","Pacific",79087,"alhambra","CA",78840,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Aliso Viejo,CA,City","Aliso Viejo",0,0,1,3,8,34,3,2017,1,"CA","Aliso Viejo,CA","City",4,45,"Aliso Viejo","CA","Aliso Viejo ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",49674,NA,NA,"","","CA030490X","Aliso Viejo","CA","West","Pacific",50736,NA,NA,NA,NA,NA,NA,NA,NA,NA,"City"
"Allen,TX,City","Allen",0,5,5,5,11,67,4,2017,1,"TX","Allen,TX","City",15,82,"Allen","TX","Allen ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","","TX0430100","Allen","TX","South","West South Central",114696,"allen","TX",113737,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Allentown,PA,City","Allentown",2,8,36,24,50,190,15,2017,1,"PA","Allentown,PA","City",70,255,"Allentown","PA","Allentown ,PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",124782,NA,NA,"","","PA0390100","Allentown","PA","Northeast","Middle Atlantic",124782,"allentown","PA",124599,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Alpharetta,GA,City","Alpharetta",0,0,3,0,4,119,1,2017,1,"GA","Alpharetta,GA","City",3,124,"Alpharetta","GA","Alpharetta ,GA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67788,NA,NA,"","","GA0600400","Alpharetta","GA","South","South Atlantic",68139,"alpharetta","GA",67788,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Amarillo,TX,City","Amarillo",1,16,22,65,131,503,74,2017,1,"TX","Amarillo,TX","City",104,708,"Amarillo","TX","Amarillo ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201684,NA,NA,"","","TX1880100","Amarillo","TX","South","West South Central",201684,"amarillo","TX",105068,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Ames,IA,City","Ames",0,2,0,3,15,78,3,2017,1,"IA","Ames,IA","City",5,96,"Ames","IA","Ames ,IA","From IA","State UCR","Provided by Agency",67186,NA,NA,"","","IA0850100","Ames","IA","Midwest","West North Central",67186,"ames","IA",65426,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Ankeny,IA,City","Ankeny",0,2,2,4,17,52,2,2017,1,"IA","Ankeny,IA","City",8,71,"Ankeny","IA","Ankeny ,IA","From IA","State UCR","Provided by Agency",74233,NA,NA,"","","IA0770100","Ankeny","IA","Midwest","West North Central",74233,"ankeny","IA",76547,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Ann Arbor,MI,City","Ann Arbor",0,4,6,16,14,105,5,2025,1,"MI","Ann Arbor,MI","City",26,124,"Ann Arbor","MI","Ann Arbor ,MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",118072,NA,NA,"","","MI8121800","Ann Arbor","MI","Midwest","East North Central",118072,"ann arbor","MI",118025,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Antioch,CA,City","Antioch",1,4,30,25,56,160,80,2017,1,"CA","Antioch,CA","City",60,296,"Antioch","CA","Antioch ,CA","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",115271,NA,NA,"","","CA0070100","Antioch","CA","West","Pacific",115271,"antioch","CA",117675,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Apple Valley,MN,City","Apple Valley",0,6,4,2,5,63,3,2017,1,"MN","Apple Valley,MN","City",12,71,"Apple Valley","MN","Apple Valley ,MN","https://cde.state.mn.us/","State UCR","Open Source",54995,NA,NA,"","","MN0191000","Apple Valley","MN","Midwest","West North Central",54995,"apple valley","MN",55028,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Arcadia,CA,City","Arcadia",0,0,7,1,51,88,6,2017,1,"CA","Arcadia,CA","City",8,145,"Arcadia","CA","Arcadia ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",53397,NA,NA,"","","CA0190200","Arcadia","CA","West","Pacific",54071,"arcadia","CA",53397,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Arlington Heights,IL,City","Arlington Heights",0,1,2,3,7,58,2,2017,1,"IL","Arlington Heights,IL","City",6,67,"Arlington Heights","IL","Arlington Heights ,IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,NA,NA,"","","IL0160200","Arlington Heights","IL","Midwest","East North Central",74094,"arlington heights","IL",73545,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Arlington,TX,City","Arlington",3,43,44,79,159,755,106,2017,1,"TX","Arlington,TX","City",169,1020,"Arlington","TX","Arlington ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",394799,NA,NA,"","","TX2200100","Arlington","TX","South","West South Central",394799,"arlington","TX",399840,"city 250,000 thru 499,999",NA,NA,NA,NA,NA,"City"
"Arlington,VA,County","Arlington",1,4,3,14,17,195,12,2017,1,"VA","Arlington,VA","County",22,224,"Arlington","VA","Arlington ,VA","From VA","State UCR","Provided by State UCR Program",231844,NA,NA,"","","VA0070100","Arlington","VA","South","South Atlantic",231844,"arlington county pd","VA",234449,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Arvada,CO,City","Arvada",0,8,7,10,19,225,29,2017,1,"CO","Arvada,CO","City",25,273,"Arvada","CO","Arvada ,CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",120200,NA,NA,"","","CO0300100","Arvada","CO","West","Mountain",120200,"arvada","CO",117704,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Asheville,NC,City","Asheville",2,5,16,24,52,245,24,2017,1,"NC","Asheville,NC","City",47,321,"Asheville","NC","Asheville ,NC","From NC","State UCR","Provided by State UCR Program",93471,NA,NA,"","","NC0110100","Asheville","NC","South","South Atlantic",93471,"asheville","NC",95219,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Atlanta,GA,City","Atlanta",12,NA,130,145,317,1224,267,2017,1,"GA","Atlanta,GA","City",287,1808,"Atlanta","GA","Atlanta ,GA","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","","GAAPD0000","Atlanta","GA","South","South Atlantic",500212,"atlanta","GA",475865,"city 500,000 thru 999,999",NA,NA,NA,NA,NA,"City"
"Aurora,CO,City","Aurora",0,1,3,17,26,181,28,2017,1,"CO","Aurora,CO","City",21,235,"Aurora","CO","Aurora ,CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","","CO0010100","Aurora","CO","West","Mountain",396976,"aurora","CO",337365,"city 250,000 thru 499,999",NA,NA,NA,NA,NA,"City"
