"city_state","Agency_Type"
"Grand Rapids,MI","City"
"Grapevine,TX","City"
"Great Falls,MT","City"
"Greeley,CO","City"
"Green Bay,WI","City"
"Green Township,OH","City"
"Greensboro,NC","City"
"Greenville,NC","City"
"Greenville,SC","City"
"Greenwich,CT","City"
"Greenwood,IN","City"
"Gresham,OR","City"
"Guilford,NC","County"
"Hall,GA","County"
"Hamden,CT","City"
"Hamilton Township,NJ","City"
"Hamilton,NJ","City"
"Hamilton,OH","City"
"Hamilton,OH","County"
"Hamilton,TN","County"
"Hammond,IN","City"
"Hampton,VA","City"
"Hanover,VA","County"
"Harlingen,TX","City"
"Harris,TX","County"
"Harrisburg,PA","City"
"Harrisonburg,VA","City"
"Hartford,CT","City"
"Haverford,PA","City"
"Haverhill,MA","City"
"Hays,TX","County"
"Hayward,CA","City"
"Hempstead Village,NY","City"
"Henderson,NV","City"
"Hendersonville,TN","City"
"Henrico,VA","County"
"Henry,GA","County"
"Hidalgo,TX","County"
"High Point,NC","City"
"Hillsboro,OR","City"
"Hoboken,NJ","City"
"Honolulu,HI","City"
"Houston,TX","City"
"Howard,MD","County"
"Huntersville,NC","City"
"Idaho Falls,ID","City"
"Independence,MO","City"
"Indianapolis,IN","City"
"Iowa City,IA","City"
"Iredell,NC","County"
"Irvine,CA","City"
"Irving,TX","City"
"Jackson,TN","City"
"Jacksonville,FL","City"
"Jacksonville,NC","City"
"Janesville,WI","City"
"Jefferson,CO","County"
"Jefferson,LA","County"
"Jefferson,MO","County"
"Jeffersonville,IN","City"
"Jersey City,NJ","City"
"Johns Creek,GA","City"
"Johnson City,TN","City"
"Johnston,NC","County"
"Jonesboro,AR","City"
"Joplin,MO","City"
"Kalamazoo,MI","City"
"Kalamazoo,MI","County"
"Kannapolis,NC","City"
"Kansas City,MO","City"
"Kaufman,TX","County"
"Kenosha,WI","City"
"Kent,MI","County"
"Kentwood,MI","City"
"Kettering,OH","City"
"Killeen,TX","City"
"Kingsport,TN","City"
"Knox,TN","County"
"Knoxville,TN","City"
"Kokomo,IN","City"
"Kyle,TX","City"
"La Crosse,WI","City"
"La Mesa,CA","City"
"Laguna Niguel,CA","City"
"Lake Charles,LA","City"
"Lake Havasu City,AZ","City"
"Lakeville,MN","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Lancaster,PA","City"
"Lancaster,SC","County"
"Lansing,MI","City"
"Laredo,TX","City"
"Las Vegas,NV","City"
"Lawrence,MA","City"
"Layton,UT","City"
"League City,TX","City"
"Leander,TX","City"
"Lee's Summit,MO","City"
"Lenexa,KS","City"
"Lewisville,TX","City"
"Lexington,KY","City"
"Lexington,SC","County"
"Lincoln,CA","City"
"Lincoln,NE","City"
"Little Elm,TX","City"
"Little Rock,AR","City"
"Livermore,CA","City"
"Livingston,LA","County"
"Livingston,MI","County"
"Livonia,MI","City"
"Logan,UT","City"
"Long Beach,CA","City"
"Longmont,CO","City"
"Longview,TX","City"
"Lorain,OH","City"
"Los Angeles,CA","City"
"Los Angeles,CA","County"
"Loudoun,VA","County"
"Louisville,KY","City"
"Loveland,CO","City"
"Lowell,MA","City"
"Lower Merion,PA","City"
"Lower Paxton,PA","City"
"Lubbock,TX","City"
"Lynchburg,VA","City"
"Lynn,MA","City"
"Macomb,MI","County"
"Madera,CA","City"
"Madison,WI","City"
"Malden,MA","City"
"Manchester,CT","City"
"Manchester,NH","City"
"Mansfield,TX","City"
"Manteca,CA","City"
"Maple Grove,MN","City"
"Marana,AZ","City"
"Maricopa,AZ","City"
"Marietta,GA","City"
"McAllen,TX","City"
"Mckinney,TX","City"
"Medford,MA","City"
"Medford,OR","City"
"Memphis,TN","City"
"Merced,CA","City"
"Meriden,CT","City"
"Meridian,ID","City"
"Mesa,AZ","City"
"Mesquite,TX","City"
"Methuen,MA","City"
"Miami Beach,FL","City"
"Miami,FL","City"
"Middletown,OH","City"
"Midland,TX","City"
"Midwest City,OK","City"
"Milford,CT","City"
"Millcreek,PA","City"
"Milpitas,CA","City"
"Milwaukee,WI","City"
"Minneapolis,MN","City"
"Minnetonka,MN","City"
"Mission Viejo,CA","City"
"Mission,TX","City"
"Missoula,MT","City"
"Missouri City,TX","City"
"Mobile,AL","City"
"Monterey Park,CA","City"
"Monterey,CA","County"
"Montgomery,MD","County"
"Montgomery,TX","County"
"Moore,OK","City"
"Mooresville,NC","City"
"Mount Pleasant,SC","City"
"Mount Prospect,IL","City"
"Mount Vernon,NY","City"
"Mountain View,CA","City"
"Muncie,IN","City"
"Murfreesboro,TN","City"
"Murrieta,CA","City"
"Nampa,ID","City"
"Napa,CA","City"
"Nashua,NH","City"
"Nashville,TN","City"
"Nassau,NY","County"
"National City,CA","City"
"New Bedford,MA","City"
"New Braunfels,TX","City"
"New Britain,CT","City"
"New Hanover,NC","County"
"New Haven,CT","City"
"New Orleans,LA","City"
"New Rochelle,NY","City"
"New York City,NY","City"
"Newark,NJ","City"
"Newark,OH","City"
"Newport Beach,CA","City"
"Newport News,VA","City"
"Newton,MA","City"
"Noblesville,IN","City"
"Norfolk,VA","City"
"Normal,IL","City"
"Norman,OK","City"
"North Bergen Township,NJ","City"
"North Charleston,SC","City"
"North Las Vegas,NV","City"
"North Little Rock,AR","City"
"North Richland Hills,TX","City"
"Norwalk,CT","City"
"Novato,CA","City"
"Novi,MI","City"
"O'Fallon,MO","City"
"Oak Lawn,IL","City"
"Oceanside,CA","City"
"Odessa,TX","City"
"Ogden,UT","City"
"Oklahoma City,OK","City"
"Omaha,NE","City"
"Onslow,NC","County"
"Orem,UT","City"
"Oshkosh,WI","City"
"Ottawa,MI","County"
"Owensboro,KY","City"
"Oxnard,CA","City"
"Palatine,IL","City"
"Palo Alto,CA","City"
"Parker,CO","City"
"Parker,TX","County"
"Parma,OH","City"
"Pasadena,CA","City"
"Pasadena,TX","City"
"Paterson,NJ","City"
"Pawtucket,RI","City"
"Peabody,MA","City"
"Pearland,TX","City"
"Peoria,AZ","City"
"Petaluma,CA","City"
"Pflugerville,TX","City"
"Pharr,TX","City"
"Philadelphia,PA","City"
"Phoenix,AZ","City"
"Pima,AZ","County"
"Pinal,AZ","County"
"Pittsburgh,PA","City"
"Pittsfield,MA","City"
"Placer,CA","County"
"Plano,TX","City"
"Pleasanton,CA","City"
"Plymouth,MA","City"
"Plymouth,MN","City"
"Pocatello,ID","City"
"Pomona,CA","City"
"Pontiac,MI","City"
"Port Arthur,TX","City"
"Porterville,CA","City"
"Portland,OR","City"
"Portsmouth,VA","City"
"Prescott Valley,AZ","City"
"Prince George's,MD","County"
"Prince William,VA","County"
"Providence,RI","City"
"Provo,UT","City"
"Pueblo,CO","City"
"Quincy,MA","City"
"Racine,WI","City"
"Raleigh,NC","City"
"Rapid City,SD","City"
"Reading,PA","City"
"Redlands,CA","City"
"Redmond,WA","City"
"Redondo Beach,CA","City"
"Redwood City,CA","City"
"Reno,NV","City"
"Revere,MA","City"
"Richardson,TX","City"
"Richland,WA","City"
"Richmond,CA","City"
"Richmond,VA","City"
"Riverside,CA","City"
"Roanoke,VA","City"
"Rochester,MI","City"
"Rochester,MN","City"
"Rochester,NY","City"
"Rock Hill,SC","City"
"Rockford,IL","City"
"Rocklin,CA","City"
"Rockwall,TX","City"
"Rocky Mount,NC","City"
"Roseville,CA","City"
"Roswell,GA","City"
"Round Rock,TX","City"
"Rowlett,TX","City"
"Royal Oak,MI","City"
"Rutherford,TN","County"
"Sacramento,CA","City"
"Sacramento,CA","County"
"Salem,OR","City"
"Salt Lake City,UT","City"
"San Angelo,TX","City"
"San Antonio,TX","City"
"San Bernardino,CA","City"
"San Diego,CA","City"
"San Diego,CA","County"
"San Francisco,CA","City"
"San Jose,CA","City"
"San Marcos,TX","City"
"San Mateo,CA","City"
"San Mateo,CA","County"
"San Rafael,CA","City"
"Sandy,UT","City"
"Santa Clara,CA","City"
"Santa Cruz,CA","City"
"Santa Cruz,CA","County"
"Santa Fe,NM","City"
"Santa Maria,CA","City"
"Santa Monica,CA","City"
"Santa Rosa,CA","City"
"Sarasota,FL","County"
"Saratoga Springs,UT","City"
"Saratoga,NY","County"
"Schaumburg,IL","City"
"Schenectady,NY","City"
"Scottsdale,AZ","City"
"Scranton,PA","City"
"Seattle,WA","City"
"Shawnee,KS","City"
"Shelby Township,MI","City"
"Shelby,TN","County"
"Shreveport,LA","City"
"Simi Valley,CA","City"
"Sioux City,IA","City"
"Sioux Falls,SD","City"
"Skokie,IL","City"
"Smith,TX","County"
"Smyrna,TN","City"
"Somerville,MA","City"
"Sonoma,CA","County"
"South Bend,IN","City"
"South Jordan,UT","City"
"South San Francisco,CA","City"
"Southaven,MS","City"
"Southfield,MI","City"
"Sparks,NV","City"
"Spokane Valley,WA","City"
"Spokane,WA","City"
"Spotsylvania,VA","County"
"Spring Hill,TN","City"
"Springfield,IL","City"
"Springfield,MA","City"
"Springfield,MO","City"
"Springfield,OH","City"
"Springfield,OR","City"
"St Charles,MO","City"
"St Charles,MO","County"
"St George,UT","City"
"St Joseph,IN","County"
"St Joseph,MO","City"
"St Louis,MO","City"
"St Louis,MO","County"
"St Mary's,MD","County"
"St Peters,MO","City"
"St. Clair Shores,MI","City"
"St. Cloud,MN","City"
"St. Paul,MN","City"
"Stafford,VA","County"
"Stamford,CT","City"
"Stark,OH","County"
"State College,PA","City"
"Sterling Heights,MI","City"
"Stockton,CA","City"
"Stratford,CT","City"
"Suffolk,VA","City"
"Sugar Land,TX","City"
"Sunnyvale,CA","City"
"Surprise,AZ","City"
"Tacoma,WA","City"
"Taunton,MA","City"
"Taylor,MI","City"
"Tempe,AZ","City"
"Temple,TX","City"
"Terre Haute,IN","City"
"Texas City,TX","City"
"Thornton,CO","City"
"Thousand Oaks,CA","City"
"Thurston,WA","County"
"Tigard,OR","City"
"Tinley Park,IL","City"
"Toledo,OH","City"
"Torrance,CA","City"
"Tracy,CA","City"
"Travis,TX","County"
"Troy,MI","City"
"Tucson,AZ","City"
"Tulare,CA","City"
"Tulare,CA","County"
"Tulsa,OK","City"
"Tustin,CA","City"
"Twin Falls,ID","City"
"Tyler,TX","City"
"Union,NC","County"
"Upper Darby,PA","City"
"Utica,NY","City"
"Vacaville,CA","City"
"Vallejo,CA","City"
"Ventura,CA","City"
"Victoria,TX","City"
"Virginia Beach,VA","City"
"Visalia,CA","City"
"Waco,TX","City"
"Wake Forest,NC","City"
"Wake,NC","County"
"Walnut Creek,CA","City"
"Waltham,MA","City"
"Warren,MI","City"
"Warren,OH","County"
"Warwick,RI","City"
"Washington,DC","City"
"Washington,MD","County"
"Washington,OR","County"
"Washoe,NV","County"
"Washtenaw,MI","County"
"Waterbury,CT","City"
"Waterford Township,MI","City"
"Waterloo,IA","City"
"Waukesha,WI","City"
"Wayne Township,NJ","City"
"West Allis,WI","City"
"West Bloomfield Township,MI","City"
"West Chester Township,OH","City"
"West Covina,CA","City"
"West Des Moines,IA","City"
"West Hartford,CT","City"
"West Haven,CT","City"
"West Jordan,UT","City"
"West New York,NJ","City"
"West Valley,UT","City"
"Westfield,IN","City"
"Westland,MI","City"
"Westminster,CA","City"
"Westminster,CO","City"
"Weymouth,MA","City"
"Wichita Falls,TX","City"
"Will,IL","County"
"Williamson,TX","County"
"Wilmington,NC","City"
"Winston-Salem,NC","City"
"Woodbury,MN","City"
"Worcester,MA","City"
"Wright,MN","County"
"Wylie,TX","City"
"Wyoming,MI","City"
"Yakima,WA","City"
"Yorba Linda,CA","City"
"Youngstown,OH","City"
"Yuma,AZ","City"
