agency_name,state_name,lat,long,population,crime_type,Percent_Change,national_sample
Abilene,Texas,32.44645,-99.7475905,128387,Aggravated Assaults,-20,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Burglaries,-22.5,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Motor Vehicle Thefts,-61.1111111111111,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Murders,0,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Property Crimes,-13.5734072022161,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Rapes,-17.6470588235294,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Robberies,0,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Thefts,-3.6734693877551,TRUE
Abilene,Texas,32.44645,-99.7475905,128387,Violent Crimes,-17.3333333333333,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Aggravated Assaults,-100,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Burglaries,-50,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Motor Vehicle Thefts,57.1428571428571,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Murders,0,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Property Crimes,-18.4615384615385,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Rapes,-75,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Robberies,-25,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Thefts,-20.6521739130435,TRUE
Abington,Pennsylvania,40.1142201,-75.13023,58433,Violent Crimes,-69.2307692307692,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Aggravated Assaults,-4.34782608695652,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Burglaries,-61.1111111111111,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Motor Vehicle Thefts,-93.3333333333333,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Murders,0,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Property Crimes,-55.8333333333333,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Rapes,-57.1428571428571,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Robberies,0,TRUE
Ada County,Idaho,43.4136539,-116.2367421,138487,Thefts,-48.2758620689655,TRUE
