"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Chicago","Illinois",FALSE,"Chicago, Illinois",41.8755616,-87.6244212,2715488,"Agency RMS","Open Source","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/explore/query/SELECT%0A%20%20%60id%60%2C%0A%20%20%60case_number%60%2C%0A%20%20%60date%60%2C%0A%20%20%60block%60%2C%0A%20%20%60iucr%60%2C%0A%20%20%60primary_type%60%2C%0A%20%20%60description%60%2C%0A%20%20%60location_description%60%2C%0A%20%20%60arrest%60%2C%0A%20%20%60domestic%60%2C%0A%20%20%60beat%60%2C%0A%20%20%60district%60%2C%0A%20%20%60ward%60%2C%0A%20%20%60community_area%60%2C%0A%20%20%60fbi_code%60%2C%0A%20%20%60x_coordinate%60%2C%0A%20%20%60y_coordinate%60%2C%0A%20%20%60year%60%2C%0A%20%20%60updated_on%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60location%60%2C%0A%20%20%60%3A%40computed_region_awaf_s7ux%60%2C%0A%20%20%60%3A%40computed_region_6mkv_f3dw%60%2C%0A%20%20%60%3A%40computed_region_vrxf_vc4k%60%2C%0A%20%20%60%3A%40computed_region_bdys_3d7i%60%2C%0A%20%20%60%3A%40computed_region_43wa_7qmu%60%2C%0A%20%20%60%3A%40computed_region_rpca_8um6%60%2C%0A%20%20%60%3A%40computed_region_d9mm_jgwp%60%2C%0A%20%20%60%3A%40computed_region_d3ds_rm58%60%2C%0A%20%20%60%3A%40computed_region_8hcu_yrd4%60%0AORDER%20BY%20%60date%60%20DESC%20NULL%20FIRST/page/filter",TRUE
"Chico","California",FALSE,"Chico, California",39.7284945,-121.8374777,102829,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Chicopee","Massachusetts",FALSE,"Chicopee, Massachusetts",42.1487691,-72.6071119,55222,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",TRUE
"Chino","California",FALSE,"Chino, California",34.0133561,-117.690075,94769,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Chula Vista","California",FALSE,"Chula Vista, California",32.6400541,-117.084195,279237,"Agency Aggregated","Open Source","https://crimestats.arjis.org/default.aspx",TRUE
"Cicero","Illinois",FALSE,"Cicero, Illinois",41.8455398,-87.7540199,81401,"State UCR","Open Source","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",TRUE
"Cincinnati","Ohio",FALSE,"Cincinnati, Ohio",39.1012809,-84.5127405,316260,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Citrus Heights","California",FALSE,"Citrus Heights, California",38.7071247,-121.2810611,86751,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Clackamas County","Oregon",TRUE,"Clackamas County, Oregon",45.1608821,-122.2305038,245076,"State UCR","Open Source","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",FALSE
"Clarksville","Tennessee",FALSE,"Clarksville, Tennessee",36.5277607,-87.3588703,190532,"Crime Data Explorer","Open Source","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx",TRUE
"Cleveland","Ohio",FALSE,"Cleveland, Ohio",41.4996574,-81.6936772,363659,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",FALSE
"Clifton","New Jersey",FALSE,"Clifton, New Jersey",40.8584328,-74.1637553,90406,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Clinton Township","Michigan",FALSE,"Clinton Township, Michigan",42.5869782,-82.9200047,101593,"State UCR","Open Source","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard",TRUE
"Clovis","California",FALSE,"Clovis, California",36.8252277,-119.7029194,129862,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Coeur D Alene","Idaho",FALSE,"Coeur D Alene, Idaho",47.6742994,-116.7811531,57973,"State UCR","Open Source","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch",TRUE
"Colerain Township","Ohio",FALSE,"Colerain Township, Ohio",39.2584995,-84.6329262,59366,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"College Station","Texas",FALSE,"College Station, Texas",30.6183939,-96.3455991,129902,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Collierville","Tennessee",FALSE,"Collierville, Tennessee",35.042036,-89.6645266,52107,"Crime Data Explorer","Open Source","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx",TRUE
"Collin County","Texas",TRUE,"Collin County, Texas",33.1609629,-96.6060984,95732,"State UCR","Agency Aggregated","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Colonie Town","New York",FALSE,"Colonie Town, New York",42.7433327,-73.7966596,82328,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",FALSE
"Colorado Springs","Colorado",FALSE,"Colorado Springs, Colorado",38.8339578,-104.825348,496560,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Columbia","Missouri",FALSE,"Columbia, Missouri",38.951883,-92.3337366,132072,"State UCR","Open Source","https://showmecrime.mo.gov/",TRUE
"Columbus","Ohio",FALSE,"Columbus, Ohio",39.9622601,-83.0007065,912232,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Comal County","Texas",TRUE,"Comal County, Texas",29.7979704,-98.2690787,99619,"State UCR","Agency Aggregated","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Commerce City","Colorado",FALSE,"Commerce City, Colorado",39.8083196,-104.9338675,72244,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",FALSE
"Concord","California",FALSE,"Concord, California",37.9768525,-122.0335624,123703,"Agency Aggregated","Open Source","https://www.cityofconcord.org/1197/2024-Crime-Statistics",FALSE
"Concord","North Carolina",FALSE,"Concord, North Carolina",35.4094178,-80.5800049,114348,"State UCR","Provided by State UCR Program","From NC",TRUE
"Conroe","Texas",FALSE,"Conroe, Texas",30.3118769,-95.4560512,121302,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Conway","Arkansas",FALSE,"Conway, Arkansas",35.0891932,-92.4398402,72394,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Coon Rapids","Minnesota",FALSE,"Coon Rapids, Minnesota",45.1728923,-93.3023898,63860,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Corona","California",FALSE,"Corona, California",33.8752945,-117.566444,162606,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Corpus Christi","Texas",FALSE,"Corpus Christi, Texas",27.7635302,-97.4033191,317071,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",FALSE
"Corvallis","Oregon",FALSE,"Corvallis, Oregon",44.5645659,-123.2620435,62971,"State UCR","Open Source","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",FALSE
"Council Bluffs","Iowa",FALSE,"Council Bluffs, Iowa",41.258841,-95.8519484,62635,"Crime Data Explorer","Provided by Agency","From IA",TRUE
"Cranston","Rhode Island",FALSE,"Cranston, Rhode Island",41.779588,-71.4366813,84734,"State UCR","Open Source","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch",TRUE
"Cuyahoga Falls","Ohio",FALSE,"Cuyahoga Falls, Ohio",41.1362729,-81.4828123,50961,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",FALSE
"Dallas","Texas",FALSE,"Dallas, Texas",32.7762719,-96.7968559,1246336,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Daly City","California",FALSE,"Daly City, California",37.6904826,-122.47267,100564,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Danbury","Connecticut",FALSE,"Danbury, Connecticut",41.394817,-73.4540111,89355,"State UCR","Open Source","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",FALSE
"Davenport","Iowa",FALSE,"Davenport, Iowa",41.5224692,-90.5756401,100761,"Crime Data Explorer","Provided by Agency","From IA",TRUE
"Davidson County","North Carolina",TRUE,"Davidson County, North Carolina",35.7902384,-80.2115053,123997,"State UCR","Provided by State UCR Program","From NC",FALSE
"Davis","California",FALSE,"Davis, California",38.5435526,-121.739005,67181,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Dayton","Ohio",FALSE,"Dayton, Ohio",39.7589478,-84.1916069,136047,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Dearborn Heights","Michigan",FALSE,"Dearborn Heights, Michigan",42.3369816,-83.2732627,60548,"Crime Data Explorer","Open Source","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard",TRUE
"Dearborn","Michigan",FALSE,"Dearborn, Michigan",42.3222599,-83.1763145,105599,"Crime Data Explorer","Open Source","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard",TRUE
"Decatur","Illinois",FALSE,"Decatur, Illinois",39.8454163,-88.9524151,68221,"State UCR","Open Source","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",TRUE
"Delaware County","Ohio",TRUE,"Delaware County, Ohio",40.2317686,-82.9651045,108438,"State UCR","Provided by State UCR Program","From OH",FALSE
"Denton","Texas",FALSE,"Denton, Texas",33.1838787,-97.1413417,172882,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Denton County","Texas",TRUE,"Denton County, Texas",33.1838787,-97.1413417,151930,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Denver","Colorado",FALSE,"Denver, Colorado",39.7392364,-104.984862,733212,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Des Moines","Iowa",FALSE,"Des Moines, Iowa",41.5868654,-93.6249494,212737,"Crime Data Explorer","Provided by Agency","From IA",TRUE
"Des Plaines","Illinois",FALSE,"Des Plaines, Illinois",42.0415823,-87.8873916,58435,"State UCR","Open Source","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",FALSE
"Desoto","Texas",FALSE,"Desoto, Texas",32.5897831,-96.8570183,56851,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Detroit","Michigan",FALSE,"Detroit, Michigan",42.3315509,-83.0466403,642155,"Agency RMS","Open Source","https://data.detroitmi.gov/datasets/rms-crime-incidents",TRUE
"Douglas County","Colorado",TRUE,"Douglas County, Colorado",39.3420437,-104.9468945,231244,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Douglas County","Nebraska",TRUE,"Douglas County, Nebraska",41.2954112,-96.1415672,103800,"State UCR","Agency Aggregated","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082",TRUE
"Draper","Utah",FALSE,"Draper, Utah",40.5247777,-111.8627989,46435,"Crime Data Explorer","Open Source","https://bci.utah.gov/crime-in-utah-dashboards/",TRUE
"Dublin","Ohio",FALSE,"Dublin, Ohio",40.0996009,-83.1135563,40725,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Dubuque","Iowa",FALSE,"Dubuque, Iowa",42.5006243,-90.6647985,58822,"Crime Data Explorer","Provided by Agency","From IA",TRUE
"Duluth","Minnesota",FALSE,"Duluth, Minnesota",46.7838287,-92.1052679,88307,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Dunwoody","Georgia",FALSE,"Dunwoody, Georgia",33.9463786,-84.3342686,51850,"Agency Aggregated","Open Source","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison",TRUE
"Durham","North Carolina",FALSE,"Durham, North Carolina",35.996653,-78.9018053,306696,"State UCR","Provided by State UCR Program","From NC",TRUE
"Eagan","Minnesota",FALSE,"Eagan, Minnesota",44.818173,-93.1659179,66870,"State UCR","Open Source","https://cde.state.mn.us/",FALSE
"East Baton Rouge Parish","Louisiana",FALSE,"East Baton Rouge Parish, Louisiana",30.5254797,-91.0899217,172971,"Agency RMS","Open Source","https://data.brla.gov/Public-Safety/EBR-Sheriff-s-Office-Crime-Incidents/7y8j-nrht/explore/query/SELECT%0A%20%20%60incident_number%60%2C%0A%20%20%60charge_id%60%2C%0A%20%20%60charge_date%60%2C%0A%20%20%60report_date%60%2C%0A%20%20%60approved_date%60%2C%0A%20%20%60attempted_committed%60%2C%0A%20%20%60street%60%2C%0A%20%20%60street_2%60%2C%0A%20%20%60city%60%2C%0A%20%20%60state%60%2C%0A%20%20%60postal_code%60%2C%0A%20%20%60district%60%2C%0A%20%20%60zone%60%2C%0A%20%20%60sub_zone%60%2C%0A%20%20%60statute_title%60%2C%0A%20%20%60statute_description%60%2C%0A%20%20%60statute_category%60%2C%0A%20%20%60crime_against%60%2C%0A%20%20%60nibrs_code%60%2C%0A%20%20%60offense_description%60%2C%0A%20%20%60census_block_group%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60crime_prevention_district%60%2C%0A%20%20%60neighborhood%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60geolocation%60%0AORDER%20BY%20%60report_date%60%20DESC%20NULL%20FIRST/page/filter",FALSE
"East Hartford","Connecticut",FALSE,"East Hartford, Connecticut",41.767914,-72.644512,51190,"State UCR","Open Source","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",TRUE
"Eau Claire","Wisconsin",FALSE,"Eau Claire, Wisconsin",44.811349,-91.4984941,70653,"State UCR","Provided by State UCR Program","From WI",TRUE
"Eden Prairie","Minnesota",FALSE,"Eden Prairie, Minnesota",44.8546856,-93.470786,62593,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Edina","Minnesota",FALSE,"Edina, Minnesota",44.8897027,-93.3501222,53617,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Edinburg","Texas",FALSE,"Edinburg, Texas",26.3013982,-98.1624501,110822,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Edmond","Oklahoma",FALSE,"Edmond, Oklahoma",35.6571367,-97.4649038,100144,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"El Cajon","California",FALSE,"El Cajon, California",32.7947731,-116.962526,102604,"Agency Aggregated","Open Source","https://crimestats.arjis.org/default.aspx",TRUE
"El Dorado County","California",TRUE,"El Dorado County, California",38.7574137,-120.5276129,161044,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",FALSE
"El Monte","California",FALSE,"El Monte, California",34.0751571,-118.036849,103551,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"El Paso County","Colorado",TRUE,"El Paso County, Colorado",38.8287435,-104.5253456,210336,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"El Paso","Texas",FALSE,"El Paso, Texas",31.7601001,-106.4870476,682310,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"El Paso County","Texas",TRUE,"El Paso County, Texas",31.8072184,-106.2230394,111217,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Elizabeth","New Jersey",FALSE,"Elizabeth, New Jersey",40.6639916,-74.2107006,141194,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Elk Grove","California",FALSE,"Elk Grove, California",38.4087993,-121.3716178,184388,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Elkhart","Indiana",FALSE,"Elkhart, Indiana",41.6012796,-85.8590603,53640,"Crime Data Explorer","Open Source","https://cde.state.mn.us/",TRUE
"Elyria","Ohio",FALSE,"Elyria, Ohio",41.3673191,-82.1073583,53836,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Enid","Oklahoma",FALSE,"Enid, Oklahoma",36.3967623,-97.8791341,50360,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",FALSE
"Erie","Pennsylvania",FALSE,"Erie, Pennsylvania",42.1294712,-80.0852695,92461,"State UCR","Open Source","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",TRUE
"Escondido","California",FALSE,"Escondido, California",33.1216751,-117.0814849,148303,"Agency Aggregated","Open Source","https://crimestats.arjis.org/default.aspx",TRUE
"Euclid","Ohio",FALSE,"Euclid, Ohio",41.5931049,-81.5267873,48117,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Eugene","Oregon",FALSE,"Eugene, Oregon",44.0505054,-123.0950506,178886,"State UCR","Open Source","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",TRUE
"Euless","Texas",FALSE,"Euless, Texas",32.8370727,-97.0819541,59746,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Evanston","Illinois",FALSE,"Evanston, Illinois",42.0693991,-87.682932,75562,"State UCR","Open Source","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",TRUE
"Evansville","Indiana",FALSE,"Evansville, Indiana",37.970495,-87.5715641,114905,"Crime Data Explorer","Open Source","https://cde.state.mn.us/",FALSE
"Everett","Massachusetts",FALSE,"Everett, Massachusetts",42.4085897,-71.0542002,52437,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",TRUE
"Everett","Washington",FALSE,"Everett, Washington",47.9793437,-122.2127011,113547,"Agency RMS","Agency RMS","https://data.everettwa.gov/Safe-Community/Police-Cases/szww-y224/about_data",TRUE
"Fairfax County","Virginia",TRUE,"Fairfax County, Virginia",38.8156356,-77.2836849,1125193,"State UCR","Provided by State UCR Program","From VA",TRUE
"Fairfield","California",FALSE,"Fairfield, California",38.2493581,-122.039966,123346,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Fairfield","Connecticut",FALSE,"Fairfield, Connecticut",41.1412078,-73.2637258,66290,"State UCR","Open Source","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",TRUE
"Fall River","Massachusetts",FALSE,"Fall River, Massachusetts",41.7010642,-71.1546367,94628,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",FALSE
"Fargo","North Dakota",FALSE,"Fargo, North Dakota",46.877229,-96.789821,138990,"State UCR","Open Source","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94",TRUE
"Farmington Hills","Michigan",FALSE,"Farmington Hills, Michigan",42.4853125,-83.3771553,84262,"Crime Data Explorer","Open Source","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard",TRUE
"Fayetteville","Arkansas",FALSE,"Fayetteville, Arkansas",36.0625843,-94.1574328,105335,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Fayetteville","North Carolina",FALSE,"Fayetteville, North Carolina",35.0525759,-78.878292,209151,"State UCR","Provided by State UCR Program","From NC",FALSE
"Fishers","Indiana",FALSE,"Fishers, Indiana",39.9555928,-86.0138729,105143,"Crime Data Explorer","Open Source","https://cde.state.mn.us/",TRUE
"Flagstaff","Arizona",FALSE,"Flagstaff, Arizona",35.1987522,-111.651822,77664,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",FALSE
"Florissant","Missouri",FALSE,"Florissant, Missouri",38.7919683,-90.3227803,51002,"State UCR","Open Source","https://showmecrime.mo.gov/",FALSE
"Flower Mound","Texas",FALSE,"Flower Mound, Texas",33.0283854,-97.0867203,80200,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Folsom","California",FALSE,"Folsom, California",38.6779591,-121.176058,89999,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Fontana","California",FALSE,"Fontana, California",34.0922947,-117.43433,220837,"Agency Aggregated","Open Source","https://www.fontanaca.gov/CivicAlerts.aspx?CID=32",FALSE
"Forsyth County","Georgia",TRUE,"Forsyth County, Georgia",34.235309,-84.1335644,276364,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Forsyth County","North Carolina",TRUE,"Forsyth County, North Carolina",36.1476399,-80.2415712,114329,"State UCR","Provided by State UCR Program","From NC",TRUE
"Fort Bend County","Texas",TRUE,"Fort Bend County, Texas",29.511218,-95.7807348,637444,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Fort Collins","Colorado",FALSE,"Fort Collins, Colorado",40.5871782,-105.0770113,171159,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Fort Smith","Arkansas",FALSE,"Fort Smith, Arkansas",35.3880338,-94.4265011,90848,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Fort Wayne","Indiana",FALSE,"Fort Wayne, Indiana",41.0799898,-85.1386015,275451,"Agency Aggregated","Provided by State UCR Program","https://www.fwpd.org/crime-statistics",FALSE
"Fort Worth","Texas",FALSE,"Fort Worth, Texas",32.753177,-97.3327459,1009136,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Fountain Valley","California",FALSE,"Fountain Valley, California",33.7038145,-117.9627349,55805,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Framingham","Massachusetts",FALSE,"Framingham, Massachusetts",42.2773177,-71.4165905,73485,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",FALSE
"Franklin","Tennessee",FALSE,"Franklin, Tennessee",35.925206,-86.8689419,90436,"Crime Data Explorer","Open Source","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx",TRUE
"Fremont","California",FALSE,"Fremont, California",37.5482697,-121.988571,227635,"Agency Aggregated","Provided by Agency","https://www.fremontpolice.gov/",FALSE
"Fresno","California",FALSE,"Fresno, California",36.7394421,-119.78483,551969,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Frisco","Texas",FALSE,"Frisco, Texas",33.1505998,-96.8238183,145026,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Fullerton","California",FALSE,"Fullerton, California",33.8708215,-117.929416,139237,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Galveston","Texas",FALSE,"Galveston, Texas",29.3872254,-94.992736,53510,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Gardena","California",FALSE,"Gardena, California",33.8815601,-118.2935879,58456,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Garland","Texas",FALSE,"Garland, Texas",32.912624,-96.6388833,251165,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Gastonia","North Carolina",FALSE,"Gastonia, North Carolina",35.2622654,-81.1838186,86826,"State UCR","Provided by State UCR Program","From NC",TRUE
"Georgetown","Texas",FALSE,"Georgetown, Texas",30.6370152,-97.6775634,111743,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Gilbert","Arizona",FALSE,"Gilbert, Arizona",33.3527632,-111.789037,293851,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",TRUE
"Gilroy","California",FALSE,"Gilroy, California",37.0065078,-121.5631723,60649,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Glendale","Arizona",FALSE,"Glendale, Arizona",33.5386858,-112.185994,260498,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",FALSE
"Glendale","California",FALSE,"Glendale, California",34.1469416,-118.2478471,185849,"Agency Aggregated","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Goodyear","Arizona",FALSE,"Goodyear, Arizona",33.4672279,-112.3853489,123911,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",TRUE
"Grand Forks","North Dakota",FALSE,"Grand Forks, North Dakota",47.9252104,-97.0306325,60024,"State UCR","Open Source","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94",TRUE
"Grand Island","Nebraska",FALSE,"Grand Island, Nebraska",40.924271,-98.338685,53307,"State UCR","Open Source","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082",TRUE
"Grand Junction","Colorado",FALSE,"Grand Junction, Colorado",39.0672568,-108.56448,71807,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Grand Prairie","Texas",FALSE,"Grand Prairie, Texas",32.7459645,-96.9977846,133275,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",FALSE
"Grand Rapids","Michigan",FALSE,"Grand Rapids, Michigan",42.9632425,-85.6678639,200467,"Crime Data Explorer","Open Source","https://grpd-grandrapids.hub.arcgis.com/",TRUE
"Grapevine","Texas",FALSE,"Grapevine, Texas",32.9337381,-97.0788754,51460,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Great Falls","Montana",FALSE,"Great Falls, Montana",47.5048851,-111.29189,59904,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Greeley","Colorado",FALSE,"Greeley, Colorado",40.4233142,-104.7091322,115679,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",FALSE
"Green Bay","Wisconsin",FALSE,"Green Bay, Wisconsin",44.5126379,-88.0125794,106069,"State UCR","Provided by State UCR Program","From WI",TRUE
"Green Township","Ohio",FALSE,"Green Township, Ohio",39.1648093,-84.6536214,60370,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Greensboro","North Carolina",FALSE,"Greensboro, North Carolina",36.0726355,-79.7919754,310328,"State UCR","Provided by State UCR Program","From NC",FALSE
"Greenville","North Carolina",FALSE,"Greenville, North Carolina",35.613224,-77.3724593,96214,"State UCR","Provided by State UCR Program","From NC",TRUE
"Greenville","South Carolina",FALSE,"Greenville, South Carolina",34.851354,-82.3984882,75127,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
